quarter_end,ret_prev_q,cpi_yoy_cur,gdp_yoy_cur,repo_chg_bps_cur,rain_anom_cur,excess_next_q
2014-06-30,0.0035626981978698,7.859486107068089,7.112079862047338,0.0,69.87910189982726,-0.017474184879598
2014-09-30,0.1531612207077828,6.681568327827914,7.592544422911884,0.0,-7.449625791594709,0.0621642493156624
2014-12-31,-0.017474184879598,4.054537529024286,8.033806086309792,0.0,-7.449625791594709,0.0080206948667855
2015-03-31,0.0621642493156624,5.272440245677228,7.197432550362404,-50.0,-7.449625791594709,0.0150731321176628
2015-06-30,0.0080206948667855,5.0908092179592055,9.088682682427862,-25.0,-7.449625791594709,0.0482072271104764
2015-09-30,0.0150731321176628,3.9483042408415088,8.679802778791013,-50.0,-6.171560161197469,0.0320663418668031
2015-12-31,0.0482072271104764,5.339794541213791,9.66980880045285,0.0,-6.171560161197469,-0.0219097570148112
2016-03-31,0.0320663418668031,5.259608548379628,8.575493631707353,0.0,-6.171560161197469,0.0124320769414874
2016-06-30,-0.0219097570148112,5.665679801665672,6.289327747747575,-25.0,-6.171560161197469,0.0765400753608547
2016-09-30,0.0124320769414874,5.1673343334687205,6.112753262232262,0.0,55.198618307426585,-0.019484458404305
2016-12-31,0.0765400753608547,3.748832287455439,5.31793955247053,-25.0,55.198618307426585,0.0775958759826858
2017-03-31,-0.019484458404305,3.56891502972263,6.668678039312748,0.0,55.198618307426585,-0.0068714198250172
2017-06-30,0.0775958759826858,2.2075945422937484,8.932909226179575,0.0,55.198618307426585,-0.006785711719909
2017-09-30,-0.0068714198250172,2.976498830584166,7.499660843627298,-25.0,-2.60218767990789,0.0912713907522857
2017-12-31,-0.006785711719909,4.556545747545604,6.457181008972346,0.0,-2.60218767990789,-0.0728532873224648
2018-03-31,0.0912713907522857,4.59478342971585,6.233477926090059,0.0,-2.60218767990789,-0.0900773363333808
2018-06-30,-0.0728532873224648,4.790508503950093,5.720942884807356,25.0,-2.60218767990789,-0.0766578328913732
2018-09-30,-0.0900773363333808,3.854621114070023,5.0953681727949895,25.0,-7.714450201496834,0.0482509038346342
2018-12-31,-0.0766578328913732,2.6063839211870685,4.298371152596903,0.0,-7.714450201496834,-0.0486634616231882
2019-03-31,0.0482509038346342,2.4651225915393336,3.2556431108379025,-25.0,-7.714450201496834,-0.0472929807447012
2019-06-30,-0.0486634616231882,3.0717695592508805,2.944912954125134,-50.0,-7.714450201496834,-0.0655529353461091
2019-09-30,-0.0472929807447012,3.47266683473492,-23.134128932174654,-34.999999999999964,-8.439838802533098,0.0066898935837598
2019-12-31,-0.0655529353461091,5.837140861480482,-5.839217613893188,-25.0,-8.439838802533098,-0.0222310428191143
2020-03-31,0.0066898935837598,6.669901617923564,1.7750822246493714,-75.0,-8.439838802533098,0.0581173650365476
2020-06-30,-0.0222310428191143,6.573177742776333,3.289792842390349,-40.00000000000004,-8.439838802533098,0.0632226881632225
2020-09-30,0.0581173650365476,6.895552248608908,22.633772856552792,0.0,10.362694300518134,-0.0158398849881704
2020-12-31,0.0632226881632225,6.375940321197045,9.865857855249915,0.0,10.362694300518134,0.0860656369469823
2021-03-31,-0.0158398849881704,4.869867444579697,5.5290748881957175,0.0,10.362694300518134,0.0681685014035098
2021-06-30,0.0860656369469823,5.593669058078173,4.45284560335153,0.0,10.362694300518134,0.0059132424574457
2021-09-30,0.0681685014035098,5.078817347553977,13.490759400548937,0.0,0.7484168105929765,0.0169287434243864
2021-12-31,0.0059132424574457,5.016349752533163,5.95823759743439,0.0,0.7484168105929765,-0.0310349097544683
2022-03-31,0.0169287434243864,6.344005782303749,4.844051139061567,0.0,0.7484168105929765,-0.0126526202275516
2022-06-30,-0.0310349097544683,7.281714750617444,6.896954042595782,90.00000000000003,0.7484168105929765,0.0760865232566379
2022-09-30,-0.0126526202275516,7.040022124446892,9.65994419429732,100.0,6.505469199769717,-0.0317234921517148
2022-12-31,0.0760865232566379,6.120733549946393,9.34288446635254,34.999999999999964,6.505469199769717,-0.0055999997614507
2023-03-31,-0.0317234921517148,6.208194495065059,9.51455476473948,25.0,6.505469199769717,0.0850409533976972
2023-06-30,-0.0055999997614507,4.6265674932592775,8.354640517680622,0.0,6.505469199769717,0.1103537522789719
2023-09-30,0.0850409533976972,6.428907125563477,6.51179994954767,0.0,-5.906735751295331,0.0326629103680669
2023-12-31,0.1103537522789719,5.37031126433154,5.612025126063402,0.0,-5.906735751295331,0.013611381324504
2024-03-31,0.0326629103680669,5.014307005632383,6.366485630027352,0.0,-5.906735751295331,0.0839445330934964
2024-06-30,0.013611381324504,4.904469177984187,7.384530368945819,0.0,-5.906735751295331,0.0042682250598247
