model,rmse,mae,r2
elasticnet,0.06330727122051803,0.05280280309155961,-0.2786746045705699
baseline_mean,0.0634987652099802,0.0528668239999761,-0.2864218609185718
baseline_lag1,0.06615911947656748,0.05419978126475698,-0.39647216751201775
gbr,0.07740978545257177,0.06308695846548222,-0.9118093399487666
lasso,0.0806453816537093,0.06326765149223694,-1.0749701551590412
ridge,0.10150863616397864,0.07307916877242907,-2.287447583584253
