quarter_end,cpi_yoy_lag1,gdp_yoy_lag1,repo_chg_bps_lag1,rain_anom_lag1,cpi_yoy_diff,gdp_yoy_diff,rain_anom_diff,excess_ret_lag1,excess_ret_ma4,q_sin,q_cos,target_excess_ret_next
2014-12-31,6.681568327827914,7.592544422911884,0.0,-7.449625791594709,-2.627030798803627,0.4412616633979072,0.0,-0.017474184879598,0.05035349583542925,-2.4492935982947064e-16,1.0,0.0080206948667855
2015-03-31,4.054537529024286,8.033806086309792,0.0,-7.449625791594709,1.217902716652942,-0.8363735359473878,0.0,0.0621642493156624,0.05146799500265817,1.0,6.123233995736766e-17,0.0150731321176628
2015-06-30,5.272440245677228,7.197432550362404,-50.0,-7.449625791594709,-0.18163102771802286,1.8912501320654584,0.0,0.0080206948667855,0.016945972855128173,1.2246467991473532e-16,-1.0,0.0482072271104764
2015-09-30,5.0908092179592055,9.088682682427862,-25.0,-7.449625791594709,-1.1425049771176967,-0.40887990363684956,1.27806563039724,0.0150731321176628,0.033366325852646775,-1.0,-1.8369701987210297e-16,0.0320663418668031
2015-12-31,3.9483042408415088,8.679802778791013,-50.0,-6.171560161197469,1.3914903003722818,0.9900060216618378,0.0,0.0482072271104764,0.02584184899043195,-2.4492935982947064e-16,1.0,-0.0219097570148112
2016-03-31,5.339794541213791,9.66980880045285,0.0,-6.171560161197469,-0.08018599283416261,-1.0943151687454975,0.0,0.0320663418668031,0.018359236020032775,1.0,6.123233995736766e-17,0.0124320769414874
2016-06-30,5.259608548379628,8.575493631707353,0.0,-6.171560161197469,0.40607125328604443,-2.286165883959778,0.0,-0.0219097570148112,0.017698972225988926,1.2246467991473532e-16,-1.0,0.0765400753608547
2016-09-30,5.665679801665672,6.289327747747575,-25.0,-6.171560161197469,-0.4983454681969519,-0.17657448551531285,61.370178468624054,0.0124320769414874,0.024782184288583503,-1.0,-1.8369701987210297e-16,-0.019484458404305
2016-12-31,5.1673343334687205,6.112753262232262,0.0,55.198618307426585,-1.4185020460132813,-0.7948137097617325,0.0,0.0765400753608547,0.011894484220806478,-2.4492935982947064e-16,1.0,0.0775958759826858
2017-03-31,3.748832287455439,5.31793955247053,-25.0,55.198618307426585,-0.17991725773280898,1.3507384868422179,0.0,-0.019484458404305,0.03677089247018073,1.0,6.123233995736766e-17,-0.0068714198250172
2017-06-30,3.56891502972263,6.668678039312748,0.0,55.198618307426585,-1.3613204874288818,2.2642311868668274,0.0,0.0775958759826858,0.031945018278554574,1.2246467991473532e-16,-1.0,-0.006785711719909
2017-09-30,2.2075945422937484,8.932909226179575,0.0,55.198618307426585,0.7689042882904178,-1.4332483825522768,-57.80080598733448,-0.0068714198250172,0.01111357150836365,-1.0,-1.8369701987210297e-16,0.0912713907522857
2017-12-31,2.976498830584166,7.499660843627298,-25.0,-2.60218767990789,1.5800469169614377,-1.0424798346549524,0.0,-0.006785711719909,0.03880253379751132,-2.4492935982947064e-16,1.0,-0.0728532873224648
2018-03-31,4.556545747545604,6.457181008972346,0.0,-2.60218767990789,0.038237682170246146,-0.22370308288228724,0.0,0.0912713907522857,0.0011902429712236755,1.0,6.123233995736766e-17,-0.0900773363333808
2018-06-30,4.59478342971585,6.233477926090059,0.0,-2.60218767990789,0.19572507423424312,-0.5125350412827023,0.0,-0.0728532873224648,-0.019611236155867226,1.2246467991473532e-16,-1.0,-0.0766578328913732
2018-09-30,4.790508503950093,5.720942884807356,25.0,-2.60218767990789,-0.9358873898800701,-0.6255747120123667,-5.112262521588944,-0.0900773363333808,-0.03707926644873328,-1.0,-1.8369701987210297e-16,0.0482509038346342
2018-12-31,3.854621114070023,5.0953681727949895,25.0,-7.714450201496834,-1.2482371928829545,-0.7969970201980869,0.0,-0.0766578328913732,-0.047834388178146156,-2.4492935982947064e-16,1.0,-0.0486634616231882
2019-03-31,2.6063839211870685,4.298371152596903,0.0,-7.714450201496834,-0.14126132964773497,-1.0427280417590001,0.0,0.0482509038346342,-0.041786931753327004,1.0,6.123233995736766e-17,-0.0472929807447012
2019-06-30,2.4651225915393336,3.2556431108379025,-25.0,-7.714450201496834,0.6066469677115469,-0.3107301567127685,0.0,-0.0486634616231882,-0.031090842856157104,1.2246467991473532e-16,-1.0,-0.0655529353461091
2019-09-30,3.0717695592508805,2.944912954125134,-50.0,-7.714450201496834,0.40089727548403964,-26.079041886299787,-0.725388601036264,-0.0472929807447012,-0.028314618469841082,-1.0,-1.8369701987210297e-16,0.0066898935837598
2019-12-31,3.47266683473492,-23.134128932174654,-34.999999999999964,-8.439838802533098,2.364474026745562,17.294911318281464,0.0,-0.0655529353461091,-0.038704871032559686,-2.4492935982947064e-16,1.0,-0.0222310428191143
2020-03-31,5.837140861480482,-5.839217613893188,-25.0,-8.439838802533098,0.8327607564430819,7.61429983854256,0.0,0.0066898935837598,-0.0320967663315412,1.0,6.123233995736766e-17,0.0581173650365476
2020-06-30,6.669901617923564,1.7750822246493714,-75.0,-8.439838802533098,-0.09672387514723102,1.5147106177409775,0.0,-0.0222310428191143,-0.005744179886229005,1.2246467991473532e-16,-1.0,0.0632226881632225
2020-09-30,6.573177742776333,3.289792842390349,-40.00000000000004,-8.439838802533098,0.3223745058325749,19.343980014162444,18.802533103051232,0.0581173650365476,0.026449725991103894,-1.0,-1.8369701987210297e-16,-0.0158398849881704
2020-12-31,6.895552248608908,22.633772856552792,0.0,10.362694300518134,-0.5196119274118631,-12.767915001302876,0.0,0.0632226881632225,0.020817281348121344,-2.4492935982947064e-16,1.0,0.0860656369469823
2021-03-31,6.375940321197045,9.865857855249915,0.0,10.362694300518134,-1.5060728766173481,-4.336782967054198,0.0,-0.0158398849881704,0.04789145128964549,1.0,6.123233995736766e-17,0.0681685014035098
2021-06-30,4.869867444579697,5.5290748881957175,0.0,10.362694300518134,0.7238016134984759,-1.076229284844188,0.0,0.0860656369469823,0.05040423538138604,1.2246467991473532e-16,-1.0,0.0059132424574457
2021-09-30,5.593669058078173,4.45284560335153,0.0,10.362694300518134,-0.5148517105241961,9.037913797197408,-9.614277489925158,0.0681685014035098,0.036076873954941836,-1.0,-1.8369701987210297e-16,0.0169287434243864
2021-12-31,5.078817347553977,13.490759400548937,0.0,0.7484168105929765,-0.06246759502081378,-7.532521803114546,0.0,0.0059132424574457,0.04426903105808104,-2.4492935982947064e-16,1.0,-0.0310349097544683
2022-03-31,5.016349752533163,5.95823759743439,0.0,0.7484168105929765,1.3276560297705862,-1.1141864583728234,0.0,0.0169287434243864,0.014993894382718394,1.0,6.123233995736766e-17,-0.0126526202275516
2022-06-30,6.344005782303749,4.844051139061567,0.0,0.7484168105929765,0.9377089683136948,2.052902903534215,0.0,-0.0310349097544683,-0.005211386025046956,1.2246467991473532e-16,-1.0,0.0760865232566379
2022-09-30,7.281714750617444,6.896954042595782,90.00000000000003,0.7484168105929765,-0.24169262617055143,2.7629901517015387,5.7570523891767404,-0.0126526202275516,0.012331934174751093,-1.0,-1.8369701987210297e-16,-0.0317234921517148
2022-12-31,7.040022124446892,9.65994419429732,100.0,6.505469199769717,-0.9192885745004995,-0.31705972794478043,0.0,0.0760865232566379,0.0001688752807257922,-2.4492935982947064e-16,1.0,-0.0055999997614507
2023-03-31,6.120733549946393,9.34288446635254,34.999999999999964,6.505469199769717,0.08746094511866609,0.17167029838693892,0.0,-0.0317234921517148,0.006527602778980192,1.0,6.123233995736766e-17,0.0850409533976972
2023-06-30,6.208194495065059,9.51455476473948,25.0,6.505469199769717,-1.5816270018057814,-1.1599142470588575,0.0,-0.0055999997614507,0.030950996185292394,1.2246467991473532e-16,-1.0,0.1103537522789719
2023-09-30,4.6265674932592775,8.354640517680622,0.0,6.505469199769717,1.8023396323041991,-1.842840568132952,-12.412204951065048,0.0850409533976972,0.039517803440875895,-1.0,-1.8369701987210297e-16,0.0326629103680669
