,MAE,RMSE,R2,DA,MAPE,SMAPE%,Folds,ΔMAE,ΔRMSE,ΔR2,ΔDA,ΔMAPE,ΔSMAPE%,ΔFolds
Baseline(ret_prev_q),0.04341252334384274,0.049415696925210945,-7.849020382756903,0.6944444444444444,1.0534081005054685,139.23943342995972,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enriched(LightGBM),0.05465060937985587,0.06158040862872519,-13.168769596099999,0.4722222222222222,2.8940573182797884,130.54241489353637,18,0.011238086036013131,0.012164711703514249,-5.319749213343096,-0.2222222222222222,1.84064921777432,-8.697018536423343,0.0
