"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2019","17,566.40","18,334.70","18,463.05","17,426.40","","-3.79%"
"01-03-2019","18,258.50","16,787.35","18,269.70","16,781.05","","9.19%"
"01-02-2019","16,721.10","16,977.50","17,140.20","16,044.85","","-1.09%"
"01-01-2019","16,904.75","17,910.10","17,937.65","16,543.70","","-5.43%"
"01-12-2018","17,875.50","17,592.45","18,095.00","16,435.30","","2.12%"
"01-11-2018","17,503.60","17,257.30","17,705.80","17,209.95","","1.83%"
"01-10-2018","17,189.15","17,090.45","17,387.15","15,802.95","","0.20%"
"01-09-2018","17,154.35","20,015.20","20,088.05","16,972.70","","-13.89%"
"01-08-2018","19,920.45","18,936.35","20,005.85","18,742.35","","5.53%"
"01-07-2018","18,876.90","18,271.35","18,897.00","17,700.90","","3.83%"
"01-06-2018","18,181.30","18,884.60","19,115.60","17,813.75","","-3.82%"
"01-05-2018","18,903.30","20,328.65","20,328.85","18,328.55","","-6.84%"
"01-04-2018","20,290.30","18,833.30","20,301.80","18,813.15","","8.17%"
"01-03-2018","18,757.00","19,635.35","19,755.50","18,302.20","","-4.62%"
"01-02-2018","19,664.90","20,821.60","20,828.40","18,701.80","","-5.39%"
"01-01-2018","20,785.20","21,177.95","21,840.85","20,649.85","","-1.65%"
"01-12-2017","21,133.50","20,007.05","21,154.85","19,460.25","","6.22%"
"01-11-2017","19,895.15","19,689.70","20,178.95","19,146.15","","1.62%"
"01-10-2017","19,578.40","18,282.75","19,659.45","18,147.60","","8.12%"
"01-09-2017","18,107.95","18,345.65","19,200.20","17,723.85","","-0.93%"
"01-08-2017","18,277.45","18,563.40","18,638.30","17,056.15","","-1.28%"
"01-07-2017","18,514.60","17,792.45","18,545.35","17,730.65","","4.43%"
"01-06-2017","17,729.75","17,537.60","18,153.55","17,330.50","","1.26%"
"01-05-2017","17,509.90","18,143.35","18,511.55","17,039.30","","-3.19%"
"01-04-2017","18,086.45","17,256.25","18,167.10","17,242.00","","5.17%"
"01-03-2017","17,197.15","16,557.45","17,221.65","16,242.95","","4.35%"
"01-02-2017","16,480.50","15,445.30","16,510.05","15,402.15","","6.92%"
"01-01-2017","15,413.70","14,417.15","15,697.70","14,323.25","","7.40%"
"01-12-2016","14,351.45","14,964.20","14,966.20","13,658.15","","-3.73%"
"01-11-2016","14,907.10","15,955.40","16,033.50","13,933.40","","-6.32%"
"01-10-2016","15,912.30","15,546.05","16,169.10","15,537.70","","3.24%"
"01-09-2016","15,413.10","15,384.45","15,817.90","15,020.85","","0.27%"
"01-08-2016","15,370.85","14,856.95","15,452.40","14,490.50","","4.05%"
"01-07-2016","14,772.75","13,871.50","14,839.55","13,871.50","","6.92%"
"01-06-2016","13,816.45","13,322.30","13,843.50","12,921.05","","3.94%"
"01-05-2016","13,292.65","13,165.10","13,381.75","12,811.30","","0.74%"
"01-04-2016","13,195.30","12,743.75","13,416.35","12,628.55","","3.47%"
"01-03-2016","12,752.60","11,610.30","12,770.20","11,610.30","4.78B","10.33%"
"01-02-2016","11,558.70","12,555.15","12,593.70","11,190.35","5.55B","-7.30%"
"01-01-2016","12,469.10","13,413.70","13,638.25","11,857.85","5.25B","-6.92%"
"01-12-2015","13,396.70","13,294.40","13,422.65","12,726.65","4.38B","1.12%"
"01-11-2015","13,248.70","13,254.40","13,351.70","12,712.15","3.93B","0.08%"
"01-10-2015","13,238.50","13,082.65","13,570.15","12,978.65","4.41B","1.96%"
"01-09-2015","12,984.50","12,951.15","13,064.30","12,133.75","4.99B","-0.57%"
"01-08-2015","13,059.10","13,771.65","14,237.60","12,154.85","6.24B","-4.88%"
"01-07-2015","13,728.65","13,049.35","13,791.90","13,049.35","5.07B","5.53%"
"01-06-2015","13,009.65","13,149.65","13,223.40","12,326.70","6.11B","-1.30%"
"01-05-2015","13,180.75","12,775.95","13,198.25","12,222.85","4.12B","3.87%"
"01-04-2015","12,689.60","13,006.30","13,738.70","12,298.85","4.27B","-2.40%"
"01-03-2015","13,001.25","13,207.10","13,521.65","12,538.80","5.24B","-0.89%"
"01-02-2015","13,117.50","13,135.05","13,281.35","12,452.00","5.98B","-0.05%"
"01-01-2015","13,124.10","12,579.20","13,283.05","12,212.50","5.58B","4.29%"
"01-12-2014","12,583.85","12,402.90","12,812.35","11,470.00","5.84B","1.57%"
"01-11-2014","12,389.25","11,849.60","12,459.15","11,849.60","4.85B","4.63%"
"01-10-2014","11,841.10","11,407.75","11,844.80","10,940.85","3.73B","3.70%"
"01-09-2014","11,418.30","11,151.20","12,000.60","11,054.95","5.66B","2.74%"
"01-08-2014","11,114.05","10,749.10","11,261.95","10,602.75","4.53B","2.55%"
"01-07-2014","10,838.20","11,142.65","11,492.35","10,410.20","6.60B","-2.33%"
"01-06-2014","11,096.90","10,175.10","11,124.40","10,175.10","7.69B","9.43%"
"01-05-2014","10,141.05","8,832.45","10,673.75","8,775.90","7.76B","15.45%"
"01-04-2014","8,783.65","8,639.50","9,009.15","8,541.55","4.56B","1.99%"
"01-03-2014","8,612.45","7,807.30","8,623.95","7,752.45","4.19B","10.34%"
"01-02-2014","7,805.25","7,515.45","7,818.50","7,376.90","2.52B","3.52%"
"01-01-2014","7,540.00","8,084.60","8,181.25","7,346.70","3.93B","-6.58%"
