year,month,rainfall_mm,source
2015,Jul,296.9,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2015,Aug,276.8,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2015,Sep,71.1,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2015,Oct,42.1,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2015,Nov,1.6,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2015,Dec,0.8,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Jan,21.4,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Feb,2.1,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Mar,19.9,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Apr,0.1,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,May,31.2,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Jun,120.9,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Jul,625.3,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Aug,463.1,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Sep,138.6,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Oct,31.9,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Nov,0.0,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2016,Dec,0.0,https://www.tropmet.res.in/~lip/Publication/RR-pdf/RR-138.pdf
2017,Jan,26.9,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:0]{index=0}
2017,Feb,12.4,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:1]{index=1}
2017,Mar,29.0,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:2]{index=2}
2017,Apr,44.3,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:3]{index=3}
2017,May,56.1,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:4]{index=4}
2017,Jun,172.5,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:5]{index=5}
2017,Jul,290.5,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:6]{index=6}
2017,Aug,229.6,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:7]{index=7}
2017,Sep,153.3,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:8]{index=8}
2017,Oct,81.5,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:9]{index=9}
2017,Nov,14.7,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:10]{index=10}
2017,Dec,16.2,IMD Rainfall Statistics of India 2017 (Table 4) :contentReference[oaicite:11]{index=11}

