quarter_end,cpi_yoy,gdp_yoy,repo_chg_bps,rain_anom,q_sin,q_cos,excess_ret_lag1,excess_ret_ma4,target_excess_ret_next
2014-12-31,4.054537529024286,8.033806086309792,0.0,-7.449625791594709,-2.4492935982947064e-16,1.0,-0.017474184879598,0.05035349583542925,0.0080206948667855
2015-03-31,5.272440245677228,7.197432550362404,-50.0,-7.449625791594709,1.0,6.123233995736766e-17,0.0621642493156624,0.05146799500265817,0.0150731321176628
2015-06-30,5.0908092179592055,9.088682682427862,-25.0,-7.449625791594709,1.2246467991473532e-16,-1.0,0.0080206948667855,0.016945972855128173,0.0482072271104764
2015-09-30,3.9483042408415088,8.679802778791013,-50.0,-6.171560161197469,-1.0,-1.8369701987210297e-16,0.0150731321176628,0.033366325852646775,0.0320663418668031
2015-12-31,5.339794541213791,9.66980880045285,0.0,-6.171560161197469,-2.4492935982947064e-16,1.0,0.0482072271104764,0.02584184899043195,-0.0219097570148112
2016-03-31,5.259608548379628,8.575493631707353,0.0,-6.171560161197469,1.0,6.123233995736766e-17,0.0320663418668031,0.018359236020032775,0.0124320769414874
2016-06-30,5.665679801665672,6.289327747747575,-25.0,-6.171560161197469,1.2246467991473532e-16,-1.0,-0.0219097570148112,0.017698972225988926,0.0765400753608547
2016-09-30,5.1673343334687205,6.112753262232262,0.0,55.198618307426585,-1.0,-1.8369701987210297e-16,0.0124320769414874,0.024782184288583503,-0.019484458404305
2016-12-31,3.748832287455439,5.31793955247053,-25.0,55.198618307426585,-2.4492935982947064e-16,1.0,0.0765400753608547,0.011894484220806478,0.0775958759826858
2017-03-31,3.56891502972263,6.668678039312748,0.0,55.198618307426585,1.0,6.123233995736766e-17,-0.019484458404305,0.03677089247018073,-0.0068714198250172
2017-06-30,2.2075945422937484,8.932909226179575,0.0,55.198618307426585,1.2246467991473532e-16,-1.0,0.0775958759826858,0.031945018278554574,-0.006785711719909
2017-09-30,2.976498830584166,7.499660843627298,-25.0,-2.60218767990789,-1.0,-1.8369701987210297e-16,-0.0068714198250172,0.01111357150836365,0.0912713907522857
2017-12-31,4.556545747545604,6.457181008972346,0.0,-2.60218767990789,-2.4492935982947064e-16,1.0,-0.006785711719909,0.03880253379751132,-0.0728532873224648
2018-03-31,4.59478342971585,6.233477926090059,0.0,-2.60218767990789,1.0,6.123233995736766e-17,0.0912713907522857,0.0011902429712236755,-0.0900773363333808
2018-06-30,4.790508503950093,5.720942884807356,25.0,-2.60218767990789,1.2246467991473532e-16,-1.0,-0.0728532873224648,-0.019611236155867226,-0.0766578328913732
2018-09-30,3.854621114070023,5.0953681727949895,25.0,-7.714450201496834,-1.0,-1.8369701987210297e-16,-0.0900773363333808,-0.03707926644873328,0.0482509038346342
2018-12-31,2.6063839211870685,4.298371152596903,0.0,-7.714450201496834,-2.4492935982947064e-16,1.0,-0.0766578328913732,-0.047834388178146156,-0.0486634616231882
2019-03-31,2.4651225915393336,3.2556431108379025,-25.0,-7.714450201496834,1.0,6.123233995736766e-17,0.0482509038346342,-0.041786931753327004,-0.0472929807447012
2019-06-30,3.0717695592508805,2.944912954125134,-50.0,-7.714450201496834,1.2246467991473532e-16,-1.0,-0.0486634616231882,-0.031090842856157104,-0.0655529353461091
2019-09-30,3.47266683473492,-23.134128932174654,-34.999999999999964,-8.439838802533098,-1.0,-1.8369701987210297e-16,-0.0472929807447012,-0.028314618469841082,0.0066898935837598
2019-12-31,5.837140861480482,-5.839217613893188,-25.0,-8.439838802533098,-2.4492935982947064e-16,1.0,-0.0655529353461091,-0.038704871032559686,-0.0222310428191143
2020-03-31,6.669901617923564,1.7750822246493714,-75.0,-8.439838802533098,1.0,6.123233995736766e-17,0.0066898935837598,-0.0320967663315412,0.0581173650365476
2020-06-30,6.573177742776333,3.289792842390349,-40.00000000000004,-8.439838802533098,1.2246467991473532e-16,-1.0,-0.0222310428191143,-0.005744179886229005,0.0632226881632225
2020-09-30,6.895552248608908,22.633772856552792,0.0,10.362694300518134,-1.0,-1.8369701987210297e-16,0.0581173650365476,0.026449725991103894,-0.0158398849881704
2020-12-31,6.375940321197045,9.865857855249915,0.0,10.362694300518134,-2.4492935982947064e-16,1.0,0.0632226881632225,0.020817281348121344,0.0860656369469823
2021-03-31,4.869867444579697,5.5290748881957175,0.0,10.362694300518134,1.0,6.123233995736766e-17,-0.0158398849881704,0.04789145128964549,0.0681685014035098
2021-06-30,5.593669058078173,4.45284560335153,0.0,10.362694300518134,1.2246467991473532e-16,-1.0,0.0860656369469823,0.05040423538138604,0.0059132424574457
2021-09-30,5.078817347553977,13.490759400548937,0.0,0.7484168105929765,-1.0,-1.8369701987210297e-16,0.0681685014035098,0.036076873954941836,0.0169287434243864
2021-12-31,5.016349752533163,5.95823759743439,0.0,0.7484168105929765,-2.4492935982947064e-16,1.0,0.0059132424574457,0.04426903105808104,-0.0310349097544683
2022-03-31,6.344005782303749,4.844051139061567,0.0,0.7484168105929765,1.0,6.123233995736766e-17,0.0169287434243864,0.014993894382718394,-0.0126526202275516
2022-06-30,7.281714750617444,6.896954042595782,90.00000000000003,0.7484168105929765,1.2246467991473532e-16,-1.0,-0.0310349097544683,-0.005211386025046956,0.0760865232566379
2022-09-30,7.040022124446892,9.65994419429732,100.0,6.505469199769717,-1.0,-1.8369701987210297e-16,-0.0126526202275516,0.012331934174751093,-0.0317234921517148
2022-12-31,6.120733549946393,9.34288446635254,34.999999999999964,6.505469199769717,-2.4492935982947064e-16,1.0,0.0760865232566379,0.0001688752807257922,-0.0055999997614507
2023-03-31,6.208194495065059,9.51455476473948,25.0,6.505469199769717,1.0,6.123233995736766e-17,-0.0317234921517148,0.006527602778980192,0.0850409533976972
2023-06-30,4.6265674932592775,8.354640517680622,0.0,6.505469199769717,1.2246467991473532e-16,-1.0,-0.0055999997614507,0.030950996185292394,0.1103537522789719
2023-09-30,6.428907125563477,6.51179994954767,0.0,-5.906735751295331,-1.0,-1.8369701987210297e-16,0.0850409533976972,0.039517803440875895,0.0326629103680669
2023-12-31,5.37031126433154,5.612025126063402,0.0,-5.906735751295331,-2.4492935982947064e-16,1.0,0.1103537522789719,0.05561440407082131,0.013611381324504
2024-03-31,5.014307005632383,6.366485630027352,0.0,-5.906735751295331,1.0,6.123233995736766e-17,0.0326629103680669,0.06041724934230999,0.0839445330934964
2024-06-30,4.904469177984187,7.384530368945819,0.0,-5.906735751295331,1.2246467991473532e-16,-1.0,0.013611381324504,0.0601431442662598,0.0042682250598247
