,cpi_yoy,gdp_yoy,repo_chg_bps,rain_anom,q_sin,q_cos,excess_ret_lag1,excess_ret_ma4,target_next
cpi_yoy,1.0,0.25472348683251106,0.334835126692435,-0.1927523356833859,0.012163386588846949,-0.021422657422782546,0.15320556430331486,0.17032614807518878,0.2346040255901717
gdp_yoy,0.25472348683251106,1.0,0.2975153635248759,0.17576842099262813,-0.016121412507050254,-0.02690509370637225,0.3703352929277454,0.4359578463779868,0.07515953066893369
repo_chg_bps,0.334835126692435,0.2975153635248759,1.0,0.13722988322549698,-0.15565731166885396,0.011135460199961911,-0.07284246716696963,0.0859925609694853,-0.07426022590193031
rain_anom,-0.1927523356833859,0.17576842099262813,0.13722988322549698,1.0,-0.022298591326777528,1.7251089383433547e-17,0.23167387455395605,0.21805865289752183,0.037922469222093275
q_sin,0.012163386588846949,-0.016121412507050254,-0.15565731166885396,-0.022298591326777528,1.0,-6.464996920408965e-17,0.09197935394621638,0.036532459215523845,-0.0063489348014780685
q_cos,-0.021422657422782546,-0.02690509370637225,0.011135460199961911,1.7251089383433547e-17,-6.464996920408965e-17,1.0,0.16134748607583915,0.01733035863151898,-0.17507325264606957
excess_ret_lag1,0.15320556430331486,0.3703352929277454,-0.07284246716696963,0.23167387455395605,0.09197935394621638,0.16134748607583915,1.0,0.5343236352218353,0.01309623784164529
excess_ret_ma4,0.17032614807518878,0.4359578463779868,0.0859925609694853,0.21805865289752183,0.036532459215523845,0.01733035863151898,0.5343236352218353,1.0,0.20998413217126813
target_next,0.2346040255901717,0.07515953066893369,-0.07426022590193031,0.037922469222093275,-0.0063489348014780685,-0.17507325264606957,0.01309623784164529,0.20998413217126813,1.0
