model,rmse,mae,r2
baseline_mean,0.0634987652099802,0.0528668239999761,-0.2864218609185718
baseline_lag1,0.06615911947656748,0.05419978126475698,-0.39647216751201775
rf,0.0786771166659747,0.0651765782934234,-0.9749209767795524
lasso,0.0829218274185004,0.0662405313153909,-1.193767409358066
gbr,0.08720573230928669,0.07419692673310727,-1.4262911732482828
ridge,0.14629925665525953,0.10511030667748725,-5.828685169186918
