date_q,excess_ret,midcap_qret,nifty_qret,rain_anom,cpi_yoy,gdp_yoy,repo_chg_bps,ret_prev_q,rain_anom_lag,cpi_yoy_lag,gdp_yoy_lag,repo_chg_lag,excess_next_q,rain_repo_int
2014-06-30,0.1531612207077828,0.2884719214625337,0.1353107007547509,-44.39166666666666,7.859486107068089,8.023963162216186,0.0,0.0670462007359409,-44.39166666666666,8.244297738053634,5.342979963611838,25.0,-0.017474184879598,-1109.7916666666663
2014-09-30,-0.017474184879598,0.0289630437329344,0.0464372286125325,12.350000000000009,6.681568327827914,8.704108827720303,0.0,0.2884719214625337,-44.39166666666666,7.859486107068089,8.023963162216186,0.0,0.0621642493156624,-0.0
2014-12-31,0.0621642493156624,0.1020773670336214,0.039913117717959,12.350000000000009,4.054537529024286,5.922736090663738,0.0,0.0289630437329344,12.350000000000009,6.681568327827914,8.704108827720303,0.0,0.0080206948667855,0.0
2015-03-31,0.0080206948667855,0.0331694990007032,0.0251488041339176,12.350000000000009,5.272440245677228,7.112079862047338,-50.0,0.1020773670336214,12.350000000000009,4.054537529024286,5.922736090663738,0.0,0.0150731321176628,0.0
2015-06-30,0.0150731321176628,0.0006460917219497,-0.014427040395713,12.350000000000009,5.0908092179592055,7.592544422911884,-25.0,0.0331694990007032,12.350000000000009,5.272440245677228,7.112079862047338,-50.0,0.0482072271104764,-617.5000000000003
2015-09-30,0.0482072271104764,-0.0019331803699561,-0.0501404074804325,9.491666666666667,3.9483042408415088,8.033806086309792,-50.0,0.0006460917219497,12.350000000000009,5.0908092179592055,7.592544422911884,-25.0,0.0320663418668031,-308.75000000000017
2015-12-31,0.0320663418668031,0.0317455427625246,-0.0003207991042785,9.491666666666667,5.339794541213791,7.197432550362404,0.0,-0.0019331803699561,9.491666666666667,3.9483042408415088,8.033806086309792,-50.0,-0.0219097570148112,-474.58333333333337
2016-03-31,-0.0219097570148112,-0.0480790045309665,-0.0261692475161553,9.491666666666667,5.259608548379628,9.088682682427862,0.0,0.0317455427625246,9.491666666666667,5.339794541213791,7.197432550362404,0.0,0.0124320769414874,0.0
2016-06-30,0.0124320769414874,0.0834222040995562,0.0709901271580688,9.491666666666667,5.665679801665672,8.679802778791013,-25.0,-0.0480790045309665,9.491666666666667,5.259608548379628,9.088682682427862,0.0,0.0765400753608547,0.0
2016-09-30,0.0765400753608547,0.1155615226776776,0.0390214473168228,-24.558333333333326,5.1673343334687205,9.66980880045285,0.0,0.0834222040995562,9.491666666666667,5.665679801665672,8.679802778791013,-25.0,-0.019484458404305,-237.29166666666669
