,R2,MAE,MAPE,HitRate,MAE_improve_%,ΔR2,ΔMAE,ΔMAPE,ΔHitRate
Baseline(ret_prev_q),-0.19351775098175605,0.04130903406072801,1.0341457622315982,0.7058823529411765,,0.0,0.0,0.0,0.0
Enriched(Model),-0.15707163137785973,0.0415869130567328,1.073926054236432,0.7058823529411765,-0.6726833544359512,0.03644611960389632,0.00027787899600479476,0.039780292004833795,0.0
