model,predictor,n_obs,correlation,intercept,slope,r2,p_value_slope,aic
gdp_yoy_on_rain_anom,rain_anom,40,0.164293,5.891798,0.047826,0.026992,0.311042,261.066018
gdp_yoy_on_lag_rain_anom_1q,lag_rain_anom_1q,40,0.132188,5.895432,0.034812,0.017474,0.416163,261.455424
