,R2,MAE,MAPE,SMAPE,ΔR2,ΔMAE,ΔMAPE,ΔSMAPE
Enriched,0.01883822671229174,0.03932452347180969,1.0418928430602064,1.3230753154900212,0.0,0.0,0.0,0.0
Enriched+interaction,0.01883822671229174,0.03932452347180969,1.0418928430602064,1.3230753154900212,0.0,0.0,0.0,0.0
